Região;Código UF;UF;Código IBGE;Município;Magreza;;Magreza;;Eutrofia;;Sobrepeso;;Obesidade;;Obesidade Grave;;Total
NORTE;17;TO;171360;MONTE DO CARMO;3;0.52%;16;2.75%;413;70.96%;101;17.35%;40;6.87%;9;1.55%;582
NORTE;17;TO;171370;MONTE SANTO DO TOCANTINS;4;1.69%;8;3.38%;162;68.35%;47;19.83%;12;5.06%;4;1.69%;237
NORTE;17;TO;171395;MURICILANDIA;2;0.41%;15;3.07%;373;76.28%;74;15.13%;22;4.5%;3;0.61%;489
NORTE;17;TO;171420;NATIVIDADE;10;0.99%;35;3.45%;693;68.34%;170;16.77%;83;8.19%;23;2.27%;1.014
NORTE;17;TO;171430;NAZARE;7;1.56%;24;5.35%;329;73.27%;67;14.92%;18;4.01%;4;0.89%;449
NORTE;17;TO;171488;NOVA OLINDA;12;0.96%;45;3.61%;892;71.47%;186;14.9%;90;7.21%;23;1.84%;1.248
NORTE;17;TO;171500;NOVA ROSALANDIA;2;0.48%;14;3.35%;295;70.57%;70;16.75%;28;6.7%;9;2.15%;418
NORTE;17;TO;171510;NOVO ACORDO;5;1.31%;12;3.14%;270;70.68%;58;15.18%;28;7.33%;9;2.36%;382
NORTE;17;TO;171515;NOVO ALEGRE;5;1.73%;12;4.15%;204;70.59%;40;13.84%;23;7.96%;5;1.73%;289
NORTE;17;TO;171525;NOVO JARDIM;1;1.96%;4;7.84%;36;70.59%;9;17.65%;1;1.96%;0;-;51
NORTE;17;TO;171550;OLIVEIRA DE FATIMA;1;0.51%;8;4.04%;136;68.69%;39;19.7%;8;4.04%;6;3.03%;198
NORTE;17;TO;172100;PALMAS;180;1.19%;624;4.12%;10.497;69.24%;2.480;16.36%;1.113;7.34%;266;1.75%;15.160
NORTE;17;TO;171570;PALMEIRANTE;8;1.5%;20;3.75%;385;72.1%;82;15.36%;27;5.06%;12;2.25%;534
NORTE;17;TO;171380;PALMEIRAS DO TOCANTINS;5;2.82%;9;5.08%;117;66.1%;30;16.95%;15;8.47%;1;0.56%;177
NORTE;17;TO;171575;PALMEIROPOLIS;5;0.6%;19;2.28%;594;71.14%;135;16.17%;68;8.14%;14;1.68%;835
NORTE;17;TO;171610;PARAISO DO TOCANTINS;21;0.81%;116;4.48%;1.728;66.67%;419;16.17%;243;9.38%;65;2.51%;2.592
NORTE;17;TO;171620;PARANA;15;1.67%;30;3.33%;636;70.67%;139;15.44%;66;7.33%;14;1.56%;900
NORTE;17;TO;171630;PAU D'ARCO;1;0.24%;20;4.81%;279;67.07%;64;15.38%;42;10.1%;10;2.4%;416
NORTE;17;TO;171650;PEDRO AFONSO;11;0.83%;38;2.85%;917;68.84%;227;17.04%;120;9.01%;19;1.43%;1.332
NORTE;17;TO;171660;PEIXE;4;0.64%;7;1.12%;431;68.74%;104;16.59%;64;10.21%;17;2.71%;627
NORTE;17;TO;171665;PEQUIZEIRO;4;0.78%;19;3.73%;336;65.88%;106;20.78%;38;7.45%;7;1.37%;510
NORTE;17;TO;171700;PINDORAMA DO TOCANTINS;4;0.81%;18;3.65%;341;69.17%;82;16.63%;41;8.32%;7;1.42%;493
NORTE;17;TO;171720;PIRAQUE;5;2.2%;8;3.52%;158;69.6%;39;17.18%;16;7.05%;1;0.44%;227
NORTE;17;TO;171750;PIUM;5;0.71%;26;3.69%;472;67.05%;136;19.32%;57;8.1%;8;1.14%;704
NORTE;17;TO;171780;PONTE ALTA DO BOM JESUS;10;3.16%;8;2.53%;237;75%;44;13.92%;16;5.06%;1;0.32%;316
NORTE;17;TO;171790;PONTE ALTA DO TOCANTINS;11;2.14%;19;3.69%;349;67.77%;86;16.7%;42;8.16%;8;1.55%;515
NORTE;17;TO;171800;PORTO ALEGRE DO TOCANTINS;3;1.27%;12;5.08%;162;68.64%;40;16.95%;15;6.36%;4;1.69%;236
NORTE;17;TO;171820;PORTO NACIONAL;45;0.94%;182;3.8%;3.256;68.06%;799;16.7%;401;8.38%;101;2.11%;4.784
NORTE;17;TO;171830;PRAIA NORTE;10;1.41%;31;4.38%;517;73.02%;89;12.57%;49;6.92%;12;1.69%;708
NORTE;17;TO;171840;PRESIDENTE KENNEDY;2;0.85%;8;3.42%;160;68.38%;35;14.96%;27;11.54%;2;0.85%;234
NORTE;17;TO;171845;PUGMIL;4;1.25%;7;2.18%;210;65.42%;61;19%;31;9.66%;8;2.49%;321
NORTE;17;TO;171850;RECURSOLANDIA;6;1.3%;22;4.75%;347;74.95%;60;12.96%;23;4.97%;5;1.08%;463
NORTE;17;TO;171855;RIACHINHO;5;1.1%;27;5.93%;319;70.11%;77;16.92%;19;4.18%;8;1.76%;455
NORTE;17;TO;171865;RIO DA CONCEICAO;4;2.06%;2;1.03%;140;72.16%;29;14.95%;18;9.28%;1;0.52%;194
NORTE;17;TO;171870;RIO DOS BOIS;3;1.37%;6;2.74%;147;67.12%;41;18.72%;19;8.68%;3;1.37%;219
NORTE;17;TO;171875;RIO SONO;5;0.95%;23;4.35%;370;69.94%;95;17.96%;30;5.67%;6;1.13%;529
NORTE;17;TO;171880;SAMPAIO;10;1.79%;24;4.29%;405;72.32%;70;12.5%;40;7.14%;11;1.96%;560
NORTE;17;TO;171884;SANDOLANDIA;6;1.49%;14;3.48%;268;66.67%;63;15.67%;38;9.45%;13;3.23%;402
NORTE;17;TO;171886;SANTA FE DO ARAGUAIA;5;0.81%;27;4.37%;412;66.67%;126;20.39%;36;5.83%;12;1.94%;618
NORTE;17;TO;171888;SANTA MARIA DO TOCANTINS;1;0.33%;5;1.63%;216;70.59%;57;18.63%;20;6.54%;7;2.29%;306
NORTE;17;TO;171889;SANTA RITA DO TOCANTINS;1;0.54%;9;4.89%;127;69.02%;29;15.76%;16;8.7%;2;1.09%;184
NORTE;17;TO;171890;SANTA ROSA DO TOCANTINS;6;1.15%;23;4.4%;362;69.22%;62;11.85%;38;7.27%;32;6.12%;523
NORTE;17;TO;171900;SANTA TEREZA DO TOCANTINS;2;0.45%;20;4.51%;318;71.78%;73;16.48%;24;5.42%;6;1.35%;443
NORTE;17;TO;172000;SANTA TEREZINHA DO TOCANTINS;1;0.36%;6;2.17%;214;77.26%;37;13.36%;18;6.5%;1;0.36%;277
NORTE;17;TO;172010;SAO BENTO DO TOCANTINS;11;1.49%;30;4.05%;519;70.14%;120;16.22%;57;7.7%;3;0.41%;740
NORTE;17;TO;172015;SAO FELIX DO TOCANTINS;1;0.37%;14;5.13%;214;78.39%;30;10.99%;12;4.4%;2;0.73%;273
NORTE;17;TO;172020;SAO MIGUEL DO TOCANTINS;15;1.02%;69;4.69%;1.091;74.22%;191;12.99%;87;5.92%;17;1.16%;1.470
NORTE;17;TO;172025;SAO SALVADOR DO TOCANTINS;5;1.49%;5;1.49%;211;62.8%;78;23.21%;27;8.04%;10;2.98%;336
NORTE;17;TO;172030;SAO SEBASTIAO DO TOCANTINS;5;1.5%;12;3.59%;227;67.96%;57;17.07%;28;8.38%;5;1.5%;334
NORTE;17;TO;172049;SAO VALERIO;2;0.75%;18;6.77%;172;64.66%;42;15.79%;26;9.77%;6;2.26%;266
NORTE;17;TO;172065;SILVANOPOLIS;7;1.01%;30;4.34%;467;67.49%;111;16.04%;55;7.95%;22;3.18%;692
NORTE;17;TO;172080;SITIO NOVO DO TOCANTINS;18;1.25%;69;4.8%;1.070;74.46%;190;13.22%;73;5.08%;17;1.18%;1.437
NORTE;17;TO;172085;SUCUPIRA;5;2.05%;6;2.46%;171;70.08%;34;13.93%;21;8.61%;7;2.87%;244
NORTE;17;TO;172090;TAGUATINGA;5;0.49%;37;3.63%;671;65.91%;198;19.45%;91;8.94%;16;1.57%;1.018
NORTE;17;TO;172093;TAIPAS DO TOCANTINS;0;-;7;5.98%;86;73.5%;8;6.84%;10;8.55%;6;5.13%;117
NORTE;17;TO;172097;TALISMA;1;0.33%;9;2.98%;186;61.59%;58;19.21%;37;12.25%;11;3.64%;302
NORTE;17;TO;172110;TOCANTINIA;3;0.32%;13;1.4%;644;69.55%;198;21.38%;53;5.72%;15;1.62%;926
NORTE;17;TO;172120;TOCANTINOPOLIS;25;1.58%;62;3.92%;1.113;70.44%;271;17.15%;96;6.08%;13;0.82%;1.580
NORTE;17;TO;172125;TUPIRAMA;0;-;11;5.24%;153;72.86%;27;12.86%;14;6.67%;5;2.38%;210
NORTE;17;TO;172130;TUPIRATINS;1;0.65%;3;1.96%;115;75.16%;22;14.38%;9;5.88%;3;1.96%;153
NORTE;17;TO;172208;WANDERLANDIA;9;0.99%;31;3.43%;656;72.49%;131;14.48%;63;6.96%;15;1.66%;905
NORTE;17;TO;172210;XAMBIOA;14;1.61%;35;4.02%;609;70%;124;14.25%;66;7.59%;22;2.53%;870
TOTAL ESTADO TOCANTINS;;;;;1.216;1.12%;4.173;3.85%;75.912;70%;17.251;15.91%;7.997;7.37%;1.891;1.74%;108.440
TOTAL REGIÃO NORTE;;;;;10.943;0.98%;34.987;3.14%;777.413;69.71%;195.241;17.51%;80.677;7.23%;15.912;1.43%;1.115.173
SUDESTE;32;ES;320010;AFONSO CLAUDIO;9;1.63%;24;4.36%;359;65.15%;88;15.97%;56;10.16%;15;2.72%;551
SUDESTE;32;ES;320016;AGUA DOCE DO NORTE;11;1.14%;34;3.52%;632;65.36%;173;17.89%;88;9.1%;29;3%;967
SUDESTE;32;ES;320013;AGUIA BRANCA;3;1.32%;9;3.95%;155;67.98%;37;16.23%;22;9.65%;2;0.88%;228
SUDESTE;32;ES;320020;ALEGRE;3;0.7%;17;3.95%;257;59.77%;88;20.47%;48;11.16%;17;3.95%;430
SUDESTE;32;ES;320030;ALFREDO CHAVES;3;0.32%;27;2.92%;618;66.88%;176;19.05%;84;9.09%;16;1.73%;924
SUDESTE;32;ES;320035;ALTO RIO NOVO;0;-;2;2.86%;45;64.29%;15;21.43%;7;10%;1;1.43%;70
SUDESTE;32;ES;320040;ANCHIETA;5;1.74%;8;2.78%;178;61.81%;54;18.75%;35;12.15%;8;2.78%;288
SUDESTE;32;ES;320050;APIACA;5;1.63%;7;2.29%;195;63.73%;57;18.63%;38;12.42%;4;1.31%;306
SUDESTE;32;ES;320060;ARACRUZ;27;0.59%;120;2.62%;2.848;62.07%;915;19.94%;546;11.9%;132;2.88%;4.588
SUDESTE;32;ES;320070;ATILIO VIVACQUA;5;0.63%;21;2.63%;449;56.34%;182;22.84%;102;12.8%;38;4.77%;797
SUDESTE;32;ES;320080;BAIXO GUANDU;7;0.96%;28;3.84%;453;62.05%;126;17.26%;93;12.74%;23;3.15%;730
SUDESTE;32;ES;320090;BARRA DE SAO FRANCISCO;10;1.93%;11;2.12%;333;64.29%;110;21.24%;48;9.27%;6;1.16%;518
SUDESTE;32;ES;320100;BOA ESPERANCA;4;0.51%;21;2.67%;582;74.05%;105;13.36%;64;8.14%;10;1.27%;786
SUDESTE;32;ES;320110;BOM JESUS DO NORTE;3;1.32%;7;3.07%;142;62.28%;42;18.42%;24;10.53%;10;4.39%;228
SUDESTE;32;ES;320115;BREJETUBA;1;0.28%;14;3.87%;236;65.19%;57;15.75%;40;11.05%;14;3.87%;362
SUDESTE;32;ES;320120;CACHOEIRO DE ITAPEMIRIM;56;0.78%;221;3.1%;4.418;61.89%;1.384;19.39%;828;11.6%;232;3.25%;7.139
SUDESTE;32;ES;320130;CARIACICA;149;0.85%;627;3.59%;11.314;64.71%;3.142;17.97%;1.788;10.23%;463;2.65%;17.483
SUDESTE;32;ES;320140;CASTELO;2;1.39%;2;1.39%;74;51.39%;27;18.75%;27;18.75%;12;8.33%;144
SUDESTE;32;ES;320150;COLATINA;43;1.27%;105;3.11%;2.002;59.25%;660;19.53%;419;12.4%;150;4.44%;3.379
SUDESTE;32;ES;320160;CONCEICAO DA BARRA;7;0.81%;18;2.08%;562;64.9%;168;19.4%;91;10.51%;20;2.31%;866
SUDESTE;32;ES;320170;CONCEICAO DO CASTELO;1;0.74%;1;0.74%;84;61.76%;35;25.74%;13;9.56%;2;1.47%;136
SUDESTE;32;ES;320180;DIVINO DE SAO LOURENCO;1;0.43%;6;2.59%;159;68.53%;38;16.38%;22;9.48%;6;2.59%;232
SUDESTE;32;ES;320190;DOMINGOS MARTINS;12;0.56%;55;2.57%;1.512;70.52%;338;15.76%;185;8.63%;42;1.96%;2.144
SUDESTE;32;ES;320200;DORES DO RIO PRETO;3;0.9%;11;3.29%;222;66.47%;61;18.26%;31;9.28%;6;1.8%;334
SUDESTE;32;ES;320210;ECOPORANGA;2;0.92%;12;5.5%;153;70.18%;39;17.89%;10;4.59%;2;0.92%;218
SUDESTE;32;ES;320220;FUNDAO;3;0.62%;16;3.33%;288;59.88%;102;21.21%;54;11.23%;18;3.74%;481
SUDESTE;32;ES;320225;GOVERNADOR LINDENBERG;4;0.85%;14;2.99%;286;60.98%;83;17.7%;67;14.29%;15;3.2%;469
SUDESTE;32;ES;320230;GUACUI;5;1.87%;8;3%;169;63.3%;54;20.22%;26;9.74%;5;1.87%;267
SUDESTE;32;ES;320240;GUARAPARI;8;1.1%;29;4%;478;65.93%;122;16.83%;70;9.66%;18;2.48%;725
SUDESTE;32;ES;320245;IBATIBA;1;0.44%;2;0.88%;150;65.79%;45;19.74%;23;10.09%;7;3.07%;228
SUDESTE;32;ES;320250;IBIRACU;1;0.53%;1;0.53%;119;62.63%;39;20.53%;22;11.58%;8;4.21%;190
SUDESTE;32;ES;320255;IBITIRAMA;3;0.9%;12;3.61%;228;68.67%;53;15.96%;32;9.64%;4;1.2%;332
SUDESTE;32;ES;320260;ICONHA;0;-;1;1.33%;46;61.33%;16;21.33%;8;10.67%;4;5.33%;75
SUDESTE;32;ES;320265;IRUPI;0;-;7;3.91%;113;63.13%;35;19.55%;18;10.06%;6;3.35%;179
SUDESTE;32;ES;320270;ITAGUACU;4;2.21%;8;4.42%;119;65.75%;26;14.36%;22;12.15%;2;1.1%;181
SUDESTE;32;ES;320280;ITAPEMIRIM;2;2.3%;2;2.3%;48;55.17%;24;27.59%;8;9.2%;3;3.45%;87
SUDESTE;32;ES;320290;ITARANA;0;-;3;2.19%;78;56.93%;28;20.44%;22;16.06%;6;4.38%;137
SUDESTE;32;ES;320300;IUNA;0;-;8;2.29%;241;69.05%;61;17.48%;34;9.74%;5;1.43%;349
SUDESTE;32;ES;320305;JAGUARE;1;0.21%;8;1.67%;288;60.13%;98;20.46%;61;12.73%;23;4.8%;479
SUDESTE;32;ES;320310;JERONIMO MONTEIRO;6;1.31%;19;4.15%;289;63.1%;78;17.03%;50;10.92%;16;3.49%;458
SUDESTE;32;ES;320313;JOAO NEIVA;1;0.66%;5;3.29%;88;57.89%;26;17.11%;27;17.76%;5;3.29%;152
SUDESTE;32;ES;320316;LARANJA DA TERRA;1;1.61%;0;-;40;64.52%;7;11.29%;10;16.13%;4;6.45%;62
SUDESTE;32;ES;320320;LINHARES;6;0.54%;26;2.34%;686;61.69%;205;18.44%;139;12.5%;50;4.5%;1.112
SUDESTE;32;ES;320330;MANTENOPOLIS;2;1.42%;4;2.84%;78;55.32%;29;20.57%;18;12.77%;10;7.09%;141
SUDESTE;32;ES;320332;MARATAIZES;24;0.8%;91;3.03%;1.920;63.91%;584;19.44%;316;10.52%;69;2.3%;3.004
SUDESTE;32;ES;320334;MARECHAL FLORIANO;7;0.71%;29;2.95%;639;65.01%;180;18.31%;108;10.99%;20;2.03%;983
SUDESTE;32;ES;320335;MARILANDIA;0;-;7;4.02%;94;54.02%;45;25.86%;22;12.64%;6;3.45%;174
SUDESTE;32;ES;320340;MIMOSO DO SUL;12;1.59%;17;2.25%;470;62.25%;160;21.19%;74;9.8%;22;2.91%;755
SUDESTE;32;ES;320350;MONTANHA;1;0.13%;22;2.92%;494;65.6%;138;18.33%;80;10.62%;18;2.39%;753
SUDESTE;32;ES;320360;MUCURICI;3;1.02%;12;4.08%;187;63.61%;57;19.39%;31;10.54%;4;1.36%;294
SUDESTE;32;ES;320370;MUNIZ FREIRE;2;1.02%;5;2.55%;121;61.73%;44;22.45%;20;10.2%;4;2.04%;196
SUDESTE;32;ES;320380;MUQUI;3;0.64%;12;2.57%;288;61.67%;90;19.27%;59;12.63%;15;3.21%;467
SUDESTE;32;ES;320390;NOVA VENECIA;3;0.77%;11;2.82%;242;62.05%;67;17.18%;52;13.33%;15;3.85%;390
SUDESTE;32;ES;320400;PANCAS;13;1.56%;21;2.52%;545;65.5%;137;16.47%;92;11.06%;24;2.88%;832
SUDESTE;32;ES;320405;PEDRO CANARIO;11;1.35%;38;4.67%;527;64.82%;147;18.08%;71;8.73%;19;2.34%;813
SUDESTE;32;ES;320410;PINHEIROS;2;0.82%;10;4.12%;130;53.5%;55;22.63%;35;14.4%;11;4.53%;243
SUDESTE;32;ES;320420;PIUMA;2;0.68%;9;3.06%;188;63.95%;60;20.41%;29;9.86%;6;2.04%;294
SUDESTE;32;ES;320425;PONTO BELO;1;0.84%;5;4.2%;74;62.18%;28;23.53%;9;7.56%;2;1.68%;119
SUDESTE;32;ES;320430;PRESIDENTE KENNEDY;6;0.58%;24;2.3%;621;59.54%;220;21.09%;117;11.22%;55;5.27%;1.043
SUDESTE;32;ES;320435;RIO BANANAL;7;0.5%;43;3.06%;928;65.96%;242;17.2%;144;10.23%;43;3.06%;1.407
SUDESTE;32;ES;320440;RIO NOVO DO SUL;8;1.19%;16;2.37%;441;65.33%;122;18.07%;80;11.85%;8;1.19%;675
SUDESTE;32;ES;320450;SANTA LEOPOLDINA;0;-;5;7.04%;52;73.24%;7;9.86%;6;8.45%;1;1.41%;71
SUDESTE;32;ES;320455;SANTA MARIA DE JETIBA;1;0.25%;10;2.54%;262;66.67%;67;17.05%;47;11.96%;6;1.53%;393
SUDESTE;32;ES;320460;SANTA TERESA;3;0.56%;12;2.26%;325;61.09%;105;19.74%;69;12.97%;18;3.38%;532
SUDESTE;32;ES;320465;SAO DOMINGOS DO NORTE;0;-;1;3.33%;23;76.67%;4;13.33%;2;6.67%;0;-;30
SUDESTE;32;ES;320470;SAO GABRIEL DA PALHA;2;1.03%;8;4.1%;119;61.03%;34;17.44%;25;12.82%;7;3.59%;195
SUDESTE;32;ES;320480;SAO JOSE DO CALCADO;5;1.17%;11;2.57%;296;69.16%;59;13.79%;36;8.41%;21;4.91%;428
SUDESTE;32;ES;320490;SAO MATEUS;45;1.33%;98;2.89%;2.143;63.12%;652;19.2%;358;10.54%;99;2.92%;3.395
SUDESTE;32;ES;320495;SAO ROQUE DO CANAA;4;0.78%;21;4.07%;313;60.66%;101;19.57%;59;11.43%;18;3.49%;516
SUDESTE;32;ES;320500;SERRA;156;0.78%;714;3.55%;12.829;63.78%;3.716;18.48%;2.132;10.6%;566;2.81%;20.113
SUDESTE;32;ES;320501;SOORETAMA;4;1.3%;16;5.21%;182;59.28%;66;21.5%;34;11.07%;5;1.63%;307
SUDESTE;32;ES;320503;VARGEM ALTA;3;1.4%;6;2.79%;141;65.58%;42;19.53%;19;8.84%;4;1.86%;215
SUDESTE;32;ES;320506;VENDA NOVA DO IMIGRANTE;0;-;9;4.15%;119;54.84%;40;18.43%;38;17.51%;11;5.07%;217
SUDESTE;32;ES;320510;VIANA;12;1.56%;23;2.99%;473;61.59%;151;19.66%;82;10.68%;27;3.52%;768
SUDESTE;32;ES;320515;VILA PAVAO;3;1.32%;6;2.64%;154;67.84%;52;22.91%;10;4.41%;2;0.88%;227
SUDESTE;32;ES;320517;VILA VALERIO;1;0.4%;9;3.6%;149;59.6%;46;18.4%;31;12.4%;14;5.6%;250
SUDESTE;32;ES;320520;VILA VELHA;77;0.76%;276;2.71%;6.324;62.21%;1.929;18.98%;1.222;12.02%;338;3.32%;10.166
SUDESTE;32;ES;320530;VITORIA;47;1.51%;109;3.5%;2.038;65.53%;570;18.33%;274;8.81%;72;2.32%;3.110
TOTAL ESTADO ESPÍRITO SANTO;;;;;888;0.86%;3.287;3.18%;65.665;63.55%;19.265;18.64%;11.203;10.84%;3.019;2.92%;103.327
SUDESTE;31;MG;310010;ABADIA DOS DOURADOS;3;0.75%;7;1.75%;241;60.4%;83;20.8%;47;11.78%;18;4.51%;399
SUDESTE;31;MG;310020;ABAETE;7;0.87%;28;3.46%;503;62.18%;144;17.8%;104;12.86%;23;2.84%;809
SUDESTE;31;MG;310030;ABRE CAMPO;3;0.45%;18;2.71%;450;67.67%;116;17.44%;62;9.32%;16;2.41%;665
SUDESTE;31;MG;310040;ACAIACA;2;1.2%;12;7.19%;102;61.08%;28;16.77%;19;11.38%;4;2.4%;167
SUDESTE;31;MG;310050;ACUCENA;5;1.58%;12;3.8%;191;60.44%;60;18.99%;40;12.66%;8;2.53%;316
SUDESTE;31;MG;310060;AGUA BOA;9;1.04%;32;3.69%;613;70.7%;154;17.76%;51;5.88%;8;0.92%;867
SUDESTE;31;MG;310070;AGUA COMPRIDA;3;1.32%;7;3.07%;129;56.58%;49;21.49%;28;12.28%;12;5.26%;228
SUDESTE;31;MG;310080;AGUANIL;2;0.48%;14;3.38%;262;63.29%;73;17.63%;48;11.59%;15;3.62%;414
SUDESTE;31;MG;310090;AGUAS FORMOSAS;18;1.34%;51;3.81%;919;68.58%;235;17.54%;103;7.69%;14;1.04%;1.340
SUDESTE;31;MG;310100;AGUAS VERMELHAS;11;0.98%;49;4.36%;773;68.83%;190;16.92%;86;7.66%;14;1.25%;1.123
SUDESTE;31;MG;310110;AIMORES;9;1.1%;22;2.69%;502;61.37%;160;19.56%;96;11.74%;29;3.55%;818
SUDESTE;31;MG;310120;AIURUOCA;3;0.75%;11;2.75%;280;70%;60;15%;41;10.25%;5;1.25%;400
SUDESTE;31;MG;310130;ALAGOA;2;1.17%;6;3.51%;133;77.78%;24;14.04%;6;3.51%;0;-;171
SUDESTE;31;MG;310140;ALBERTINA;3;0.82%;7;1.92%;219;60%;77;21.1%;50;13.7%;9;2.47%;365
SUDESTE;31;MG;310150;ALEM PARAIBA;13;0.76%;41;2.41%;1.120;65.73%;287;16.84%;184;10.8%;59;3.46%;1.704
SUDESTE;31;MG;310160;ALFENAS;17;0.81%;56;2.68%;1.322;63.25%;390;18.66%;242;11.58%;63;3.01%;2.090
SUDESTE;31;MG;310163;ALFREDO VASCONCELOS;2;0.3%;19;2.81%;436;64.5%;119;17.6%;88;13.02%;12;1.78%;676
SUDESTE;31;MG;310170;ALMENARA;28;1.13%;113;4.56%;1.777;71.74%;374;15.1%;153;6.18%;32;1.29%;2.477
SUDESTE;31;MG;310180;ALPERCATA;8;1.85%;14;3.23%;281;64.9%;80;18.48%;38;8.78%;12;2.77%;433
SUDESTE;31;MG;310190;ALPINOPOLIS;6;0.69%;21;2.41%;519;59.52%;165;18.92%;132;15.14%;29;3.33%;872
SUDESTE;31;MG;310200;ALTEROSA;7;0.75%;32;3.42%;625;66.77%;160;17.09%;91;9.72%;21;2.24%;936
SUDESTE;31;MG;310205;ALTO CAPARAO;3;0.74%;12;2.96%;278;68.47%;75;18.47%;32;7.88%;6;1.48%;406
SUDESTE;31;MG;315350;ALTO JEQUITIBA;1;0.31%;17;5.26%;202;62.54%;79;24.46%;20;6.19%;4;1.24%;323
SUDESTE;31;MG;310210;ALTO RIO DOCE;8;0.84%;25;2.63%;650;68.35%;167;17.56%;87;9.15%;14;1.47%;951
SUDESTE;31;MG;310220;ALVARENGA;4;1.37%;15;5.12%;196;66.89%;41;13.99%;26;8.87%;11;3.75%;293
SUDESTE;31;MG;310230;ALVINOPOLIS;7;0.91%;30;3.9%;500;64.94%;155;20.13%;58;7.53%;20;2.6%;770
SUDESTE;31;MG;310240;ALVORADA DE MINAS;2;0.41%;14;2.86%;325;66.33%;91;18.57%;53;10.82%;5;1.02%;490
SUDESTE;31;MG;310250;AMPARO DO SERRA;5;1.3%;9;2.34%;238;61.82%;78;20.26%;42;10.91%;13;3.38%;385
SUDESTE;31;MG;310260;ANDRADAS;7;0.4%;47;2.68%;1.024;58.35%;370;21.08%;242;13.79%;65;3.7%;1.755
SUDESTE;31;MG;310280;ANDRELANDIA;16;1.7%;36;3.82%;621;65.85%;157;16.65%;94;9.97%;19;2.01%;943
SUDESTE;31;MG;310285;ANGELANDIA;7;1.81%;25;6.48%;272;70.47%;52;13.47%;23;5.96%;7;1.81%;386
SUDESTE;31;MG;310290;ANTONIO CARLOS;3;0.44%;32;4.64%;436;63.28%;121;17.56%;83;12.05%;14;2.03%;689
SUDESTE;31;MG;310300;ANTONIO DIAS;4;0.43%;41;4.45%;641;69.6%;123;13.36%;90;9.77%;22;2.39%;921
SUDESTE;31;MG;310310;ANTONIO PRADO DE MINAS;2;2.25%;3;3.37%;51;57.3%;20;22.47%;10;11.24%;3;3.37%;89
SUDESTE;31;MG;310320;ARACAI;1;1.1%;0;-;57;62.64%;13;14.29%;14;15.38%;6;6.59%;91
SUDESTE;31;MG;310330;ARACITABA;0;-;6;4.84%;81;65.32%;27;21.77%;9;7.26%;1;0.81%;124
SUDESTE;31;MG;310340;ARACUAI;20;0.96%;90;4.3%;1.361;65.03%;364;17.39%;204;9.75%;54;2.58%;2.093
SUDESTE;31;MG;310350;ARAGUARI;32;1.04%;99;3.21%;1.930;62.56%;564;18.28%;354;11.47%;106;3.44%;3.085
SUDESTE;31;MG;310360;ARANTINA;0;-;2;1.77%;79;69.91%;21;18.58%;10;8.85%;1;0.88%;113
SUDESTE;31;MG;310370;ARAPONGA;8;1.13%;31;4.36%;511;71.87%;115;16.17%;40;5.63%;6;0.84%;711
SUDESTE;31;MG;310375;ARAPORA;8;1.32%;18;2.97%;371;61.12%;113;18.62%;68;11.2%;29;4.78%;607
SUDESTE;31;MG;310380;ARAPUA;0;-;2;2.13%;66;70.21%;12;12.77%;12;12.77%;2;2.13%;94
SUDESTE;31;MG;310390;ARAUJOS;3;1.06%;18;6.34%;151;53.17%;62;21.83%;41;14.44%;9;3.17%;284
SUDESTE;31;MG;310400;ARAXA;19;1.03%;55;2.97%;1.114;60.12%;364;19.64%;226;12.2%;75;4.05%;1.853
SUDESTE;31;MG;310410;ARCEBURGO;3;0.42%;17;2.37%;419;58.36%;165;22.98%;87;12.12%;27;3.76%;718
SUDESTE;31;MG;310420;ARCOS;13;0.61%;54;2.55%;1.326;62.61%;433;20.44%;218;10.29%;74;3.49%;2.118
SUDESTE;31;MG;310430;AREADO;10;1.31%;20;2.62%;438;57.48%;153;20.08%;110;14.44%;31;4.07%;762
SUDESTE;31;MG;310440;ARGIRITA;1;1.33%;3;4%;39;52%;17;22.67%;10;13.33%;5;6.67%;75
SUDESTE;31;MG;310445;ARICANDUVA;6;1.76%;11;3.24%;247;72.65%;47;13.82%;25;7.35%;4;1.18%;340
SUDESTE;31;MG;310450;ARINOS;39;1.96%;91;4.56%;1.397;70.06%;304;15.25%;131;6.57%;32;1.6%;1.994
SUDESTE;31;MG;310460;ASTOLFO DUTRA;5;1.02%;12;2.45%;317;64.69%;90;18.37%;60;12.24%;6;1.22%;490
SUDESTE;31;MG;310470;ATALEIA;6;0.68%;25;2.83%;615;69.65%;156;17.67%;69;7.81%;12;1.36%;883
SUDESTE;31;MG;310480;AUGUSTO DE LIMA;6;1.34%;18;4.01%;312;69.49%;70;15.59%;34;7.57%;9;2%;449
SUDESTE;31;MG;310490;BAEPENDI;4;0.51%;38;4.83%;538;68.36%;132;16.77%;64;8.13%;11;1.4%;787
SUDESTE;31;MG;310500;BALDIM;5;1.66%;17;5.65%;185;61.46%;59;19.6%;26;8.64%;9;2.99%;301
SUDESTE;31;MG;310510;BAMBUI;5;0.52%;29;3%;607;62.77%;178;18.41%;113;11.69%;35;3.62%;967
SUDESTE;31;MG;310520;BANDEIRA;4;1.6%;7;2.8%;164;65.6%;47;18.8%;24;9.6%;4;1.6%;250
